Muestra,IRRADIANCE [W/m^2],TEMPERATURE [°C],ZENITH [deg],AZIMUTH [deg],ALBEDO,Vmpp,Impp,Pmpp,Fill Factor,Eficiencia
2020_01_05_05_54,0,14.9,155,-32,0.14,11.46,0.01,0.11,0.66826,0
2020_01_05_06_00,0,14.9,154,-34,0.14,12.88,0.01,0.17,0.69680,0
2020_01_05_06_05,0,14.9,154,-37,0.14,13.09,0.02,0.22,0.67886,0
2020_01_05_06_11,0,14.9,153,-39,0.14,13.67,0.03,0.45,0.71341,1
2020_01_05_06_17,0,14.9,152,-41,0.14,14.27,0.06,0.78,0.76495,2
2020_01_05_06_23,0,15,150,-44,0.14,15.26,0.09,1.34,0.76025,2
2020_01_05_06_28,0,15,149,-46,0.14,15.66,0.13,1.96,0.78750,3
2020_01_05_06_34,0,15,149,-47,0.14,15.66,0.22,3.38,0.77242,3
2020_01_05_06_40,0,15,148,-49,0.14,17.06,0.45,7.61,0.79595,3
2020_01_05_06_46,0,15,147,-50,0.14,16.46,0.42,6.83,0.78247,3
2020_01_05_06_51,0,15,146,-52,0.14,16.26,0.45,7.25,0.77603,3
2020_01_05_06_57,0,15,145,-53,0.14,16.47,0.49,8.14,0.77989,3
2020_01_05_07_03,0,15,143,-55,0.14,16.06,0.52,8.30,0.78159,3
2020_01_05_07_09,0,15,142,-56,0.14,16.26,0.51,8.36,0.77648,3
2020_01_05_07_14,0,15,141,-57,0.14,16.66,0.63,10.55,0.79029,3
2020_01_05_07_20,0,15,140,-58,0.14,16.47,0.69,11.35,0.78067,3
2020_01_05_07_26,0,14.9,139,-59,0.14,16.47,0.83,13.60,0.77704,3
2020_01_05_07_32,0,14.9,137,-60,0.14,16.26,0.93,15.14,0.77741,3
2020_01_05_07_37,0,14.9,136,-61,0.14,16.26,0.74,11.97,0.74734,2
2020_01_05_07_43,0,14.9,134,-62,0.14,16.26,0.69,11.28,0.81236,3
2020_01_05_07_49,0,14.8,133,-63,0.14,16.86,0.85,14.25,0.77276,3
2020_01_05_07_55,0,14.8,132,-63,0.14,16.26,0.94,15.28,0.77738,3
2020_01_05_08_00,0,14.8,131,-64,0.14,16.26,0.77,12.57,0.76563,3
2020_01_05_08_06,0,14.8,130,-65,0.14,16.26,0.81,13.24,0.76196,2
2020_01_05_08_12,0,14.7,129,-65,0.14,16.47,0.73,12.07,0.77771,3
2020_01_05_08_18,0,14.7,126,-66,0.14,16.86,0.84,14.11,0.76904,3
2020_01_05_08_24,0,14.6,125,-67,0.14,16.66,0.76,12.59,0.76267,2
2020_01_05_08_29,0,14.6,124,-67,0.14,15.87,0.51,8.03,0.73894,1
2020_01_05_08_35,0,14.6,123,-68,0.14,16.06,0.47,7.48,0.78541,3
2020_01_05_08_41,0,14.5,122,-68,0.14,16.26,0.58,9.46,0.79557,3
2020_01_05_08_47,0,14.5,121,-69,0.14,16.26,0.72,11.76,0.78576,3
